기간,회원구분,급전방식,사업구분,지역,원자력,기력,,,,복합화력,,내연력,,양수,신재생,기타,합계
,,,,,,유연탄,무연탄,유류,가스,유류,가스,유류,가스,,,,
2016,합계,합계,합계,소계,23115.683,30898.424,1125,3240.2999999999997,470.3,570.8,32131.801,329.44,0,4700,9283.808674,0,105865.55667399999
2015,합계,합계,합계,서울,0,0,0,0,451.5,0,0,0,0,0,77.794437,0,529.294437
2015,합계,합계,합계,부산,5137,19,0,0,0,0,1800,0,0,0,115.95493599999999,0,7071.954936
2015,합계,합계,합계,대구,0,72.9,0,43.5,0,0,370.7,0,0,0,49.836897,0,536.9368969999999
2015,합계,합계,합계,인천,0,5080,0,0,24,0,8552.747,30.78,0,0,168.24654999999998,0,13855.77355
2015,합계,합계,합계,광주,0,0,0,0,0,0,115.246,0,0,0,59.918154,0,175.164154
2015,합계,합계,합계,대전,0,0,0,88,48.3,0,0,0,0,0,18.518238,0,154.818238
2015,합계,합계,합계,울산,0,0,0,1200,0,0,2071.9,0,0,0,12.467467,0,3284.367467
2015,합계,합계,합계,경기,0,76.95,0,1524,24,0,11080.317,0.24,0,400,785.5211720000001,0,13891.028171999998
2015,합계,합계,합계,강원,0,0,725,0,0,0,848,0,0,1000,887.504281,0,3460.504281
2015,합계,합계,합계,충북,0,0,0,61.4,0,0,0,0,0,0,655.5400249999999,0,716.9400249999999
2015,합계,합계,합계,충남,0,12000,400,0,0,465.8,2867.45,2.75,0,0,1169.5114230000001,0,16905.511423
2015,합계,합계,합계,전북,0,572.43,0,21,0,0,718.4,6.58,0,600,614.441166,0,2532.851166
2015,합계,합계,합계,전남,5900,996.13,0,0,0,0,2378.9,19.01,0,0,1180.208116,0,10474.248116
